56 21
27	10.53700	11.65900	12.20700	13.68600	14.43900	15.28500	15.83500	16.25400	16.59800	16.89300	17.15300	17.38700	17.60100	17.79700	19.26500	20.30500	21.90400	24.93900	30.16400	42.75500
28	11.15400	12.31400	12.88000	14.40600	15.18200	16.05400	16.62000	17.05100	17.40600	17.70900	17.97700	18.21800	18.43800	18.64000	20.15000	21.22100	22.86700	25.99500	31.38800	44.41400
29	11.77900	12.97600	13.56000	15.13200	15.93000	16.82800	17.41000	17.85300	18.21800	18.53000	18.80500	19.05300	19.27900	19.48700	21.03900	22.14000	23.83300	27.05300	32.61400	46.07400
30	12.41700	13.64400	14.24600	15.86300	16.68400	17.60600	18.20400	18.66000	19.03400	19.35500	19.63700	19.89100	20.12300	20.33700	21.93200	23.06200	24.80200	28.11300	33.84000	47.73500
31	13.05400	14.31800	14.93700	16.59900	17.44200	18.38900	19.00200	19.47000	19.85400	20.18300	20.47300	20.73400	20.97200	21.19100	22.82700	23.98700	25.77300	29.17400	35.06700	49.39500
32	13.69700	14.99800	15.63300	17.34000	18.20500	19.17600	19.80500	20.28400	20.67800	21.01500	21.31200	21.58000	21.82300	22.04800	23.72500	24.91400	26.74600	30.23700	36.29500	51.05600
33	14.34600	15.68200	16.33500	18.08500	18.97200	19.96600	20.61100	21.10200	21.50500	21.85000	22.15500	22.42900	22.67800	22.90900	24.62600	25.84400	27.72100	31.30100	37.52400	52.71800
34	15.00100	16.37200	17.04100	18.83500	19.74300	20.76100	21.42100	21.92300	22.33600	22.68900	23.00100	23.28100	23.53600	23.77200	25.52900	26.77600	28.69800	32.36700	38.75400	54.37900
35	15.66000	17.06700	17.75200	19.58900	20.51700	21.55900	22.23400	22.74800	23.16900	23.53100	23.84900	24.13600	24.39700	24.63800	26.43500	27.71100	29.67700	33.43400	39.98500	56.04100
36	16.32500	17.76600	18.46800	20.34700	21.29600	22.36100	23.05000	23.57500	24.00600	24.37600	24.70100	24.99400	25.26100	25.50700	27.34300	28.64700	30.65700	34.50300	41.21600	57.70300
37	16.99500	18.47000	19.18800	21.10800	22.07800	23.16600	23.87000	24.40600	24.84600	25.22300	25.55600	25.85400	26.12700	26.37800	28.25400	29.58500	31.64000	35.57200	42.44800	59.36500
38	17.66900	19.17800	19.91100	21.87300	22.86400	23.97400	24.69200	25.24000	25.68900	26.07400	26.41300	26.71800	26.99600	27.25200	29.16600	30.52600	32.62400	36.64300	43.68000	61.02800
39	18.34800	19.89000	20.64000	22.64200	23.65200	24.78500	25.51800	26.07600	26.53400	26.92600	27.27200	27.58300	27.86700	28.12900	30.08100	31.46800	33.60900	37.71500	44.91300	62.69000
40	19.03100	20.60600	21.37200	23.41400	24.44400	25.59900	26.34600	26.91500	27.38200	27.78200	28.13400	28.45100	28.74100	29.00700	30.99700	32.41200	34.59600	38.78700	46.14700	64.35300
41	19.71800	21.32600	22.10700	24.18900	25.23900	26.41600	27.17700	27.75600	28.23200	28.64000	28.99900	29.32200	29.61600	29.88800	31.91600	33.35700	35.58400	39.86100	47.38100	66.01600
42	20.40900	22.04900	22.84600	24.96700	26.03700	27.23500	28.01000	28.60000	29.08500	29.50000	29.86600	30.19400	30.49400	30.77100	32.83600	34.30500	36.57400	40.93600	48.61600	67.67900
43	21.10400	22.77600	23.58700	25.74800	26.83700	28.05700	28.84600	29.44700	29.94000	30.36200	30.73400	31.06900	31.37400	31.65600	33.75800	35.25300	37.56500	42.01100	49.85100	69.34200
44	21.80300	23.50700	24.33300	26.53200	27.64100	28.88200	29.68400	30.29500	30.79700	31.22700	31.60500	31.94600	32.25600	32.54300	34.68200	36.20300	38.55700	43.08800	51.08600	71.00600
